Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-03-22,The Store,1983,https://boxd.it/1JRED7,3.5,,Francis Miyazaki,,2021-03-21
2021-04-05,Loro 2,2018,https://boxd.it/1LQZgp,4,,Con la tristezza non si costruisce niente,,2021-04-04
2021-04-17,Saint Laurent,2014,https://boxd.it/1NB3oX,3.5,,Canion freezon,,2021-04-17
2021-04-28,Punishment Park,1971,https://boxd.it/1PdiXj,4,,https://youtu.be/sFl3harYTzU?t=108,,2021-04-27
2021-05-04,Racetrack,1985,https://boxd.it/1Q4C0H,3.5,,Meglio di cicciolina,,2021-05-04
2021-05-06,The Mitchells vs. The Machines,2021,https://boxd.it/1QjAc7,3.5,,Spiderverse dell'eurospin. Però gran mestiere,,2021-05-05
2021-05-08,Rifkin's Festival,2020,https://boxd.it/1QxV3t,3.5,Yes,"<i>- solo un ebreo può pensare di fare un processo a dio
- solo un ebreo potrebbe vincere a mani basse</i>",,2021-05-07
2021-05-14,The Seduction of Mimi,1972,https://boxd.it/1RiEIN,3.5,,https://www.youtube.com/watch?v=6wMbihg9tkk&t=3s,,2021-05-13
2021-05-15,Hand Gun,1994,https://boxd.it/1RtoWB,3.5,,Tarantino e Cassavetes che dirigono la puntata più figa dei soprano,,2021-05-14
2021-05-15,Macbeth,1948,https://boxd.it/1RuQ0R,4,,Orson metal,,2021-05-15
2021-06-20,Bo Burnham: Inside,2021,https://boxd.it/1WcK19,3,,Per quanto riconosca una grande creatività nell'usare lo spazio a me di bojack horsman umano (e meno divertente) che fa il Bon Iver/lcd-soundsystem/indie-americano-anni-2010 dei poverelli frega meno di zero.,,2021-06-19
2021-06-20,Mulberry St.,2010,https://boxd.it/1WdMNh,3.5,,Joey Cigar vate moderno,,2021-06-20
2021-06-29,Humanité,1999,https://boxd.it/1XoGsX,4.5,,Sad Carpentier,,2021-06-29
2021-07-05,The Lion King,1994,https://boxd.it/1Y9HwP,4.5,,Pronti per Trump - Scar 2024 🇺🇲,,2021-07-04
2021-07-06,Wheel of Fortune and Fantasy,2021,https://boxd.it/1YmdQV,3.5,,Hong sang-soo astemio,,2021-07-05
2021-07-08,Breaking Away,1979,https://boxd.it/1YF8Ah,4,,Tutto ciò che linklater cerca di essere senza riuscirci,,2021-07-07
2021-07-11,For Lucio,2021,https://boxd.it/1Z20GH,3.5,,Grizzly man,,2021-07-10
2021-07-15,Jeannette: The Childhood of Joan of Arc,2017,https://boxd.it/1ZHKIL,4,,🐑🐑🐑,,2021-07-15
2021-07-26,Old,2021,https://boxd.it/21jbdt,4,,Ah ecco come hanno fatto il vaccino anti covid,,2021-07-25
2021-07-29,Nixon,1995,https://boxd.it/21KdZD,4.5,,"<i>Who's helping us? Is it God, or is it death?</i>",,2021-07-28
2021-08-07,The Suicide Squad,2021,https://boxd.it/234c8R,3.5,,Si ma state calmi con ste 4 stelle,,2021-08-06
2021-08-25,9 Lives of a Wet Pussycat,1976,https://boxd.it/25Jcrf,3,,Ciupaciupon,,2021-08-24
2021-08-26,Il Grido,1957,https://boxd.it/25Qmfd,4,,Bello il cameo di sonic,,2021-08-25
2021-08-27,The Man Who Surprised Everyone,2018,https://boxd.it/25ZwbN,3,,🦢🦢🦢🦢,,2021-08-26
2021-08-31,The Sparks Brothers,2021,https://boxd.it/26zYdT,4,,"Moroder: the sound of the future
Io: https://youtu.be/727F-XTGn5M",,2021-08-30
2021-09-01,It Was Yesterday,2016,https://boxd.it/26Mik5,2.5,,Gomorra is the warmest color,,2021-09-01
2021-09-03,Atlantide,2021,https://boxd.it/26WkBR,3,,Flexare prenotazioni >>>> flexare motoscafi,,2021-09-02
