Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-12-28,Belle de Jour,1967,https://boxd.it/UQMKT,4,Yes,,2019-12-27
2019-12-29,The Tale of the Princess Kaguya,2013,https://boxd.it/UWM2T,5,,,2019-12-28
2019-12-30,Star Wars: The Last Jedi,2017,https://boxd.it/V34j1,3.5,,,2019-12-29
2019-12-31,Holy Motors,2012,https://boxd.it/Vcoxv,5,Yes,,2019-12-30
2020-01-02,Wings of Desire,1987,https://boxd.it/VmIej,4.5,,,2020-01-01
2020-01-04,The Leopard,1963,https://boxd.it/VyvJx,4.5,Yes,,2020-01-02
2020-01-04,The Woman,2011,https://boxd.it/VAu2B,3.5,,,2020-01-03
2020-01-05,Shoplifters,2018,https://boxd.it/VHf47,4,Yes,,2020-01-04
2020-01-06,"Monsters, Inc.",2001,https://boxd.it/VOeyJ,5,Yes,,2020-01-05
2020-01-12,Honeymooners,1995,https://boxd.it/WimrL,4,,,2020-01-11
2020-01-15,The Ghost and Mrs. Muir,1947,https://boxd.it/WFx9f,4,,,2020-01-14
2020-01-19,Little Women,2019,https://boxd.it/X0Amj,3.5,,,2020-01-18
2020-01-23,The Ballad of Buster Scruggs,2018,https://boxd.it/Xnc3D,3.5,,,2020-01-21
2020-02-02,Spirited Away,2001,https://boxd.it/Ygfax,3.5,,,2020-01-31
2020-02-02,"Mektoub, My Love: Canto Uno",2017,https://boxd.it/YjzfD,4,,,2020-02-01
2020-02-03,The Pillow Book,1996,https://boxd.it/YncBf,3.5,,,2020-02-02
2020-02-04,Lupin the Third: The Castle of Cagliostro,1979,https://boxd.it/YujOp,3.5,,,2020-02-03
2020-02-05,Honey Boy,2019,https://boxd.it/Ywpij,3,,,2020-02-04
2020-02-06,Nausicaä of the Valley of the Wind,1984,https://boxd.it/YBIQp,4,,,2020-02-05
2020-02-07,My Neighbor Totoro,1988,https://boxd.it/YGjwT,4.5,,,2020-02-06
2020-02-08,1917,2019,https://boxd.it/YJBlv,3.5,,,2020-02-07
2020-02-08,Hammamet,2020,https://boxd.it/YK52X,3.5,,,2020-02-07
2020-02-08,Meeting Gorbachev,2018,https://boxd.it/YKM2B,3,,,2020-02-07
2020-02-09,The Adventures of Baron Munchausen,1988,https://boxd.it/YQhxb,4.5,,,2020-02-08
2020-02-11,Howl's Moving Castle,2004,https://boxd.it/Z6oub,4,,,2020-02-10
2020-02-12,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/Z7EqB,3.5,,,2020-02-11
2020-02-12,A Serious Man,2009,https://boxd.it/Z7Et1,4.5,Yes,,2020-02-11
2020-02-12,Suspiria,2018,https://boxd.it/Zbo9H,4,Yes,,2020-02-11
2020-02-13,Richard Jewell,2019,https://boxd.it/ZdVEH,2.5,,,2020-02-12
2020-02-15,Detroit,2017,https://boxd.it/ZnKWl,4,Yes,,2020-02-14
2020-02-16,Fargo,1996,https://boxd.it/ZtmO5,4,Yes,,2020-02-15
2020-02-17,The House That Jack Built,2018,https://boxd.it/ZBTe1,4.5,Yes,,2020-02-16
2020-02-18,The Enigma of Kaspar Hauser,1974,https://boxd.it/ZHAzr,4.5,,,2020-02-17
2020-02-19,I Hate Summer,2020,https://boxd.it/ZNN5V,2.5,,,2020-02-18
2020-02-20,V.H.S.,,https://boxd.it/ZRF8F,3,,,2020-02-19
2020-02-21,Vice,2018,https://boxd.it/ZX7I7,3.5,,,2020-02-20
2020-02-21,Alice and the Mayor,2019,https://boxd.it/ZXtZ5,2.5,,,2020-02-20
2020-02-21,Madadayo,1993,https://boxd.it/ZYu5z,4,,,2020-02-21
2020-02-22,THX 1138,1971,https://boxd.it/102tJh,4,,,2020-02-21
2020-02-23,The Man Who Shot Liberty Valance,1962,https://boxd.it/106qQ3,4.5,,,2020-02-22
2020-02-23,Goltzius & the Pelican Company,2012,https://boxd.it/108uUd,3.5,,,2020-02-22
2020-02-24,CURRENT,,https://boxd.it/10huB9,3.5,,,2020-02-24
2020-02-25,Dead or Alive,1999,https://boxd.it/10ia7b,4,Yes,,2020-02-24
2020-02-26,A Perfect World,1993,https://boxd.it/10mChV,4.5,Yes,,2020-02-24
2020-02-26,Heaven's Gate,1980,https://boxd.it/10oDUX,5,Yes,,2020-02-25
2020-02-27,The Lost City of Z,2016,https://boxd.it/10su6R,4,Yes,,2020-02-26
2020-02-28,Suspiria,1977,https://boxd.it/10wLWD,4,Yes,,2020-02-27
2020-02-29,Dead or Alive 2: Birds,2000,https://boxd.it/10E68t,4.5,Yes,,2020-02-28
2020-03-02,All About My Mother,1999,https://boxd.it/10PX97,4,,,2020-03-02
2020-03-03,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/10S9fl,4.5,Yes,,2020-03-02
2020-03-04,Kiki's Delivery Service,1989,https://boxd.it/10YIV9,3.5,,,2020-03-03
2020-03-05,Princess Mononoke,1997,https://boxd.it/1114o1,4,Yes,,2020-03-04
2020-03-06,Raging Bull,1980,https://boxd.it/115QMj,5,Yes,,2020-03-05
2020-03-08,Casino,1995,https://boxd.it/11eIXB,4.5,Yes,,2020-03-07
2020-03-09,The Mystery of Picasso,1956,https://boxd.it/11krzT,4,,,2020-03-08
2020-03-09,Cool Cat Saves the Kids,2015,https://boxd.it/11lo67,5,,,2020-03-09
2020-03-09,Cool Cat's Crazy Dream,2019,,4,,,2020-03-09
2020-03-10,The Searchers,1956,https://boxd.it/11piTl,4,,,2020-03-09
2020-03-11,In the Mood for Love,2000,https://boxd.it/11toxD,4,,,2020-03-10
2020-03-11,Fateful Findings,2013,https://boxd.it/11u1dR,4,,,2020-03-11
2020-03-12,The Fanatic,2019,https://boxd.it/11xXEx,1.5,,,2020-03-12
2020-03-13,Memories of Murder,2003,https://boxd.it/11B8Oz,4.5,Yes,,2020-03-12
2020-03-14,The Man Who Would Be King,1975,https://boxd.it/11Fe6V,3.5,,,2020-03-13
2020-03-15,Giorni,2020,https://boxd.it/11KlBL,5,,,2020-03-14
2020-03-16,Ponyo,2008,https://boxd.it/11NShb,3.5,,,2020-03-15
2020-03-16,How Green Was My Valley,1941,https://boxd.it/11RIZ1,4.5,,,2020-03-15
2020-03-20,La Flor,2018,https://boxd.it/12eA1N,5,,,2020-03-20
2020-03-21,My Winnipeg,2007,https://boxd.it/12kc2T,2.5,,,2020-03-21
