Date,Name,Year,Letterboxd URI,Rating
2019-09-10,Drunken Angel,1948,https://boxd.it/1uYQ,4
2019-09-10,Easy Rider,1969,https://boxd.it/29Ys,4.5
2019-09-10,Viridiana,1961,https://boxd.it/24eE,4.5
2019-09-10,Dogman,2018,https://boxd.it/hniA,4
2019-09-10,Faces Places,2017,https://boxd.it/g7ck,4
2019-09-10,Shoplifters,2018,https://boxd.it/ifY6,4
2019-09-10,The Verdict,1982,https://boxd.it/1y3Y,4.5
2019-09-10,The Draughtsman's Contract,1982,https://boxd.it/1VhO,4
2019-09-10,His Girl Friday,1940,https://boxd.it/25M8,4.5
2019-09-10,Eyes Without a Face,1960,https://boxd.it/1j9i,4.5
2019-09-10,The Look of Silence,2014,https://boxd.it/8006,4.5
2019-09-10,Dersu Uzala,1975,https://boxd.it/1XRO,4.5
2019-09-10,"Professor, My Son",1946,https://boxd.it/6dXG,4.5
2019-09-10,"Je, Tu, Il, Elle",1974,https://boxd.it/3gWK,4
2019-09-10,The 47 Ronin,1941,https://boxd.it/Ofu,4.5
2019-09-10,Horse Money,2014,https://boxd.it/8QX0,4
2019-09-10,Kagemusha,1980,https://boxd.it/1SGG,4.5
2019-09-10,A. K.,1985,https://boxd.it/dSDQ,4
2019-09-10,"Duck, You Sucker",1971,https://boxd.it/2ayU,4
2019-09-10,The Master,2012,https://boxd.it/2cBG,5
2019-09-10,Night of the Living Dead,1968,https://boxd.it/1WwA,4.5
2019-09-10,The Milky Way,1969,https://boxd.it/1cVk,4.5
2019-09-10,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,4.5
2019-09-10,"Ivan the Terrible, Part I",1944,https://boxd.it/1XMO,4.5
2019-09-10,Son of Saul,2015,https://boxd.it/b6r4,5
2019-09-10,Sunset,2018,https://boxd.it/dZ5w,4
2019-09-10,In the Realm of the Senses,1976,https://boxd.it/22qS,4.5
2019-09-10,Oldboy,2003,https://boxd.it/29R2,4
2019-09-10,Park Row,1952,https://boxd.it/1uh8,4.5
2019-09-10,Faust,1926,https://boxd.it/1Vxi,4.5
2019-09-10,The Nibelungen: Kriemhild's Revenge,1924,https://boxd.it/WIu,4.5
2019-09-10,The Last Laugh,1924,https://boxd.it/22es,5
2019-09-10,Blow Out,1981,https://boxd.it/1TlE,4.5
2019-09-10,Dogville,2003,https://boxd.it/2a8W,4.5
2019-09-10,Elephant,2003,https://boxd.it/287i,4.5
2019-09-10,The Son's Room,2001,https://boxd.it/1TPE,4.5
2019-09-10,The Exorcist,1973,https://boxd.it/1Yoo,4.5
2019-09-10,The Ninth Configuration,1980,https://boxd.it/1G4q,5
2019-09-10,Hereditary,2018,https://boxd.it/hNVe,3.5
2019-09-10,The Phantom of Liberty,1974,https://boxd.it/22VG,4.5
2019-09-10,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4.5
2019-09-10,A Grin Without a Cat,1977,https://boxd.it/x8c,4.5
2019-09-10,Annie Hall,1977,https://boxd.it/29M2,4.5
2019-09-10,The House That Jack Built,2018,https://boxd.it/dWO4,4.5
2019-09-10,Red River,1948,https://boxd.it/25Lu,4.5
2019-09-10,Bianca,1984,https://boxd.it/1N06,4
2019-09-10,Simon of the Desert,1965,https://boxd.it/1aXe,4
2019-09-10,Pain and Glory,2019,https://boxd.it/iOBQ,3.5
2019-09-10,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,4
2019-09-10,mother!,2017,https://boxd.it/dgRU,3.5
2019-09-10,Nightwatching,2007,https://boxd.it/247I,4
2019-09-10,Scarlet Street,1945,https://boxd.it/1JgE,4
2019-09-10,Caliber 9,1972,https://boxd.it/12Fm,4
2019-09-10,The Lost City of Z,2016,https://boxd.it/a7jS,4
2019-09-10,King Kong,2005,https://boxd.it/2aLa,4.5
2019-09-10,Center Stage,1991,https://boxd.it/2enm,4
2019-09-10,The Other Side of Hope,2017,https://boxd.it/fcFE,4
2019-09-10,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2019-09-10,Crows Zero,2007,https://boxd.it/1N4i,3.5
2019-09-10,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,4
2019-09-10,Being John Malkovich,1999,https://boxd.it/2ahu,4
2019-09-10,Prisoners,2013,https://boxd.it/4E5i,3.5
2019-09-10,Escape from New York,1981,https://boxd.it/294k,3.5
2019-09-10,Blade Runner,1982,https://boxd.it/2bcA,5
2019-09-10,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2019-09-10,Lady Macbeth,2016,https://boxd.it/erJk,3.5
2019-09-10,Midnight Cowboy,1969,https://boxd.it/25Hi,4
2019-09-10,Essential Killing,2010,https://boxd.it/IWs,3.5
2019-09-10,Tanna,2015,https://boxd.it/caI6,3.5
2019-09-10,Loveless,2017,https://boxd.it/fcFa,4
2019-09-10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2019-09-10,The Departed,2006,https://boxd.it/28MA,4
2019-09-10,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2019-09-10,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2019-09-10,GoodFellas,1990,https://boxd.it/29FA,5
2019-09-10,Shutter Island,2010,https://boxd.it/1U82,3.5
2019-09-10,Hugo,2011,https://boxd.it/R08,3.5
2019-09-10,Gangs of New York,2002,https://boxd.it/25FG,4
2019-09-10,Casino,1995,https://boxd.it/2ads,4.5
2019-09-10,The Aviator,2004,https://boxd.it/26BU,4.5
2019-09-10,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,4
2019-09-10,Shaun of the Dead,2004,https://boxd.it/29J8,4
2019-09-10,Hot Fuzz,2007,https://boxd.it/2416,3.5
2019-09-10,Baby Driver,2017,https://boxd.it/bhF2,3.5
2019-09-10,The Descent,2005,https://boxd.it/1YNy,3.5
2019-09-10,That Obscure Object of Desire,1977,https://boxd.it/22zg,4
